doc_id,depth,domain,internal_id,base_path,query_params,size
3265,2,corsi.unisa.it,,photovoltaics-en-teaching-course-units,{},144
4185,2,corsi.unisa.it,,ingegneria-informatica-en-teaching-course-units,{},153
2278,2,corsi.unisa.it,,ingegneria-dell-informazione-en-teaching-course-units,{},159
2876,2,corsi.unisa.it,,ingegneria-informatica-magistrale-en-teaching-course-units,{},164
17177,3,docenti.unisa.it,023586,zh,{},165
15580,3,docenti.unisa.it,005501,zh,{},166
9666,3,docenti.unisa.it,058287,zh,{},166
11400,3,docenti.unisa.it,001257,zh,{},167
17927,3,docenti.unisa.it,001319,zh,{},167
9145,3,docenti.unisa.it,004823,zh,{},168
10932,3,docenti.unisa.it,026557,zh,{},168
9260,3,docenti.unisa.it,020741,zh,{},168
16377,3,docenti.unisa.it,054591,zh,{},168
17047,3,docenti.unisa.it,020346,zh,{},168
20078,3,docenti.unisa.it,001295,zh,{},168
10111,3,docenti.unisa.it,057579,zh,{},169
12961,3,docenti.unisa.it,045640,zh,{},169
5552,3,docenti.unisa.it,004490,zh,{},169
8374,3,docenti.unisa.it,070141,zh,{},169
12737,3,docenti.unisa.it,001680,zh,{},169
21392,3,docenti.unisa.it,001670,zh,{},169
8971,3,docenti.unisa.it,026200,zh,{},169
18479,3,docenti.unisa.it,004260,zh,{},169
14555,3,docenti.unisa.it,005199,zh,{},169
16642,3,docenti.unisa.it,022852,zh,{},169
6764,3,docenti.unisa.it,004322,zh,{},169
16987,3,docenti.unisa.it,001722,zh,{},170
21304,3,docenti.unisa.it,082691,zh,{},170
7867,3,docenti.unisa.it,024950,zh,{},170
9348,3,docenti.unisa.it,001776,zh,{},170
18964,3,docenti.unisa.it,005768,zh,{},170
20915,3,docenti.unisa.it,004701,zh,{},170
20059,3,docenti.unisa.it,003780,zh,{},170
8853,3,docenti.unisa.it,005630,zh,{},171
6134,3,docenti.unisa.it,020924,zh,{},171
19269,3,docenti.unisa.it,005133,zh,{},171
12881,3,docenti.unisa.it,001366,zh,{},171
15070,3,docenti.unisa.it,020763,zh,{},171
8850,3,docenti.unisa.it,068340,zh,{},171
8507,3,docenti.unisa.it,037676,zh,{},172
5977,3,docenti.unisa.it,026104,zh,{},172
8076,3,docenti.unisa.it,038016,zh,{},172
13783,3,docenti.unisa.it,034348,zh,{},172
12847,3,docenti.unisa.it,003495,zh,{},172
11321,3,docenti.unisa.it,023604,zh,{},172
19721,3,docenti.unisa.it,062461,zh,{},172
2382,2,corsi.unisa.it,,electrical-engineering-for-digital-energy-en-teaching-course-units,{},172
19258,3,docenti.unisa.it,003735,zh,{},172
20083,3,docenti.unisa.it,005610,zh,{},172
15408,3,docenti.unisa.it,001888,zh,{},173
6000,3,docenti.unisa.it,004294,zh,{},173
16126,3,docenti.unisa.it,058553,zh,{},173
5863,3,docenti.unisa.it,027233,zh,{},173
5808,3,docenti.unisa.it,003741,zh,{},174
7646,3,docenti.unisa.it,004491,zh,{},174
11225,3,docenti.unisa.it,004367,zh,{},175
28873,4,corsi.unisa.it,,information-Engineering-for-digital-medicine-en-teaching-course-units,{},175
15098,3,docenti.unisa.it,041789,zh,{},175
8773,3,docenti.unisa.it,004687,zh,{},175
9106,3,docenti.unisa.it,066631,zh,{},176
4,0,docenti.unisa.it,055527,home,{},184
153,0,docenti.unisa.it,066273,home,{},184
152,0,docenti.unisa.it,084783,home,{},184
94,0,docenti.unisa.it,054887,home,{},184
37,0,docenti.unisa.it,052188,home,{},184
145,0,docenti.unisa.it,070614,home,{},184
71,0,docenti.unisa.it,066281,home,{},184
27,0,docenti.unisa.it,066298,home,{},184
48,0,docenti.unisa.it,001540,home,{},184
40,0,docenti.unisa.it,063791,home,{},184
113,0,docenti.unisa.it,070717,home,{},184
144,0,docenti.unisa.it,024450,home,{},184
151,0,docenti.unisa.it,084779,home,{},184
18,0,docenti.unisa.it,059035,home,{},184
155,0,docenti.unisa.it,085694,home,{},184
111,0,docenti.unisa.it,066272,home,{},184
157,0,docenti.unisa.it,082299,home,{},184
95,0,docenti.unisa.it,062757,home,{},184
91,0,docenti.unisa.it,055608,home,{},184
140,0,docenti.unisa.it,082004,home,{},184
80,0,docenti.unisa.it,048809,home,{},184
130,0,docenti.unisa.it,047784,home,{},184
109,0,docenti.unisa.it,070729,home,{},184
168,0,docenti.unisa.it,023144,home,{},184
115,0,docenti.unisa.it,054855,home,{},184
158,0,docenti.unisa.it,054382,home,{},184
96,0,docenti.unisa.it,066285,home,{},184
5,0,docenti.unisa.it,055729,home,{},184
117,0,docenti.unisa.it,047670,home,{},184
76,0,docenti.unisa.it,003960,home,{},184
89,0,docenti.unisa.it,066291,home,{},184
139,0,docenti.unisa.it,062135,home,{},184
172,0,docenti.unisa.it,067149,home,{},184
129,0,docenti.unisa.it,066296,home,{},184
8,0,docenti.unisa.it,066498,home,{},184
114,0,docenti.unisa.it,063908,home,{},184
41,0,docenti.unisa.it,055025,home,{},184
162,0,docenti.unisa.it,061949,home,{},184
173,0,docenti.unisa.it,064872,home,{},184
148,0,docenti.unisa.it,061944,home,{},184
116,0,docenti.unisa.it,062136,home,{},184
132,0,docenti.unisa.it,054954,home,{},184
159,0,docenti.unisa.it,086064,home,{},184
118,0,docenti.unisa.it,062143,home,{},184
47,0,docenti.unisa.it,044563,home,{},184
13828,3,corsi.unisa.it,,ingegneria-dell-informazione-per-la-medicina-digitale-en-teaching-course-units,{},184
54,0,docenti.unisa.it,066270,home,{},184
36,0,docenti.unisa.it,070723,home,{},184
160,0,docenti.unisa.it,084784,home,{},184
167,0,docenti.unisa.it,000848,home,{},184
128,0,docenti.unisa.it,044306,home,{},184
138,0,docenti.unisa.it,047798,home,{},184
156,0,docenti.unisa.it,062281,home,{},184
112,0,docenti.unisa.it,070735,home,{},184
141,0,docenti.unisa.it,066300,home,{},184
171,0,docenti.unisa.it,069971,home,{},184
33,0,docenti.unisa.it,047779,home,{},184
110,0,docenti.unisa.it,055001,home,{},184
62,0,docenti.unisa.it,070724,home,{},184
142,0,docenti.unisa.it,070738,home,{},184
93,0,docenti.unisa.it,065739,home,{},184
169,0,docenti.unisa.it,041093,home,{},184
108,0,docenti.unisa.it,066276,home,{},184
9,0,docenti.unisa.it,004443,home,{},184
7,0,docenti.unisa.it,066052,home,{},184
46,0,docenti.unisa.it,063481,home,{},184
131,0,docenti.unisa.it,070722,home,{},184
0,0,docenti.unisa.it,083694,home,{},184
143,0,docenti.unisa.it,064868,home,{},184
125,0,docenti.unisa.it,062145,home,{},184
84,0,docenti.unisa.it,070727,home,{},184
134,0,docenti.unisa.it,054956,home,{},184
39,0,docenti.unisa.it,042633,home,{},184
127,0,docenti.unisa.it,070716,home,{},184
3,0,docenti.unisa.it,065785,home,{},184
97,0,docenti.unisa.it,001328,home,{},184
135,0,docenti.unisa.it,084780,home,{},184
74,0,docenti.unisa.it,066274,home,{},184
164,0,docenti.unisa.it,084449,home,{},184
150,0,docenti.unisa.it,061955,home,{},184
119,0,docenti.unisa.it,069312,home,{},184
137,0,docenti.unisa.it,064870,home,{},184
161,0,docenti.unisa.it,024800,home,{},184
19,0,docenti.unisa.it,062863,home,{},184
146,0,docenti.unisa.it,069970,home,{},184
122,0,docenti.unisa.it,066282,home,{},184
57,0,docenti.unisa.it,066275,home,{},184
73,0,docenti.unisa.it,029307,home,{},184
121,0,docenti.unisa.it,047778,home,{},184
24,0,docenti.unisa.it,066299,home,{},184
136,0,docenti.unisa.it,066279,home,{},184
17,0,docenti.unisa.it,066119,home,{},184
163,0,docenti.unisa.it,003960,home,{},184
25,0,docenti.unisa.it,066290,home,{},184
86,0,docenti.unisa.it,063741,home,{},184
166,0,docenti.unisa.it,063266,home,{},184
120,0,docenti.unisa.it,063909,home,{},184
